R_fighter,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,R_Orthodox,R_Southpaw,R_Switch
Demian Maia,1,0,0,18.18181818,0.470909091,1.181818182,1.9090909090000001,0.366363636,5,3,26,1,0,0,3,0,5,0,8,185.42,182.88,170,33,0,1,0
Anthony Pettis,1,0,0,14.0,0.27,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,177.8,182.88,170,24,1,0,0
Joey Beltran,0,1,0,62.8,0.428,0.0,0.4,0.11599999999999999,2,2,14,0,0,0,1,2,0,0,3,185.42,190.5,185,29,1,0,0
Tiequan Zhang,0,1,0,4.0,0.36,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,172.72,177.8,155,33,1,0,0
Aaron Simpson,0,2,0,37.85714286,0.5371428570000001,0.428571429,3.571428571,0.498571429,3,2,17,0,0,1,2,2,0,0,5,182.88,185.42,170,37,1,0,0
Steve Cantwell,3,0,0,36.75,0.3375,0.25,0.5,0.285,1,3,10,0,0,0,0,0,1,0,1,187.96,190.5,185,24,1,0,0
Dominick Cruz,0,1,0,90.0,0.37,0.0,4.0,0.3,1,0,5,1,0,0,1,0,0,0,1,172.72,172.72,135,26,1,0,0
Pat Barry,1,0,0,19.5,0.42666666700000005,0.0,0.0,0.0,1,3,11,0,0,0,1,2,0,0,3,180.34,187.96,235,32,1,0,0
Anthony Johnson,0,1,0,21.44444444,0.47,0.5555555560000001,1.4444444440000002,0.347777778,3,3,17,0,0,0,1,5,0,0,6,187.96,198.12,205,27,1,0,0
Matt Wiman,1,0,0,31.0,0.474545455,1.363636364,2.0,0.495454545,4,4,25,0,0,0,3,2,2,0,7,177.8,172.72,155,28,1,0,0
Yves Edwards,1,0,0,23.76923077,0.51,0.7692307690000001,0.307692308,0.23076923100000002,6,5,29,0,0,1,2,3,2,0,8,175.26,185.42,155,35,0,1,0
Michael Johnson,0,1,0,28.5,0.42,0.0,0.5,0.5,1,1,4,1,0,0,0,1,0,0,1,177.8,185.42,145,25,0,1,0
Mike Easton,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,167.64,177.8,135,27,0,1,0
Shane Roller,1,0,0,13.5,0.155,0.0,0.0,0.0,1,1,3,0,0,0,0,1,0,0,1,177.8,182.88,155,32,1,0,0
Josh Neer,2,0,0,29.3,0.37799999999999995,1.1,0.9,0.258,2,6,25,0,0,0,2,0,2,0,4,180.34,182.88,170,28,1,0,0
Walel Watson,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,180.34,175.26,135,27,1,0,0
Jon Jones,0,4,0,34.625,0.57625,0.5,2.25,0.72,4,1,16,1,0,0,2,3,2,0,7,193.04,213.36,205,24,1,0,0
Matt Hughes,1,0,0,21.54166667,0.532083333,0.666666667,1.9583333330000001,0.5075,6,6,50,12,0,0,5,6,5,2,18,175.26,185.42,170,37,0,0,1
Ben Rothwell,0,1,0,23.5,0.375,1.0,2.5,0.355,1,1,5,0,0,0,1,0,0,0,1,193.04,198.12,265,29,1,0,0
Travis Browne,0,1,0,19.33333333,0.39666666700000003,0.333333333,1.0,0.553333333,1,1,5,0,0,0,0,2,0,0,2,198.12,200.66,255,29,1,0,0
Nate Diaz,2,0,0,30.53846154,0.41153846200000005,1.153846154,1.076923077,0.421538462,5,5,30,1,0,1,0,1,6,0,8,182.88,193.04,170,26,0,1,0
Tony Ferguson,0,1,0,21.0,0.55,0.0,2.0,0.66,1,0,1,1,0,0,0,1,0,0,1,180.34,193.04,155,27,1,0,0
Nick Ring,0,2,0,49.5,0.455,0.5,2.5,0.5,2,0,6,0,0,0,1,0,1,0,2,182.88,187.96,185,32,0,1,0
Junior Assuncao,1,0,0,12.33333333,0.41666666700000005,0.666666667,0.333333333,0.166666667,1,2,4,0,0,0,0,0,1,0,1,175.26,182.88,145,30,1,0,0
Takeya Mizugaki,1,0,0,28.5,0.305,0.0,2.0,0.5,1,1,6,0,0,1,0,0,0,0,1,170.18,172.72,135,27,1,0,0
James Te Huna,1,0,0,14.0,0.71,0.5,3.0,0.375,1,1,4,0,0,0,0,1,0,0,1,187.96,190.5,185,29,1,0,0
Jake Shields,1,0,0,51.5,0.365,0.0,2.0,0.13,1,1,8,1,0,1,0,0,0,0,1,182.88,182.88,170,32,1,0,0
