R_fighter,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,R_Orthodox,R_Southpaw,R_Switch
Pedro Munhoz,1,0,0,5.29,0.42,1.1,0.92,0.21,4,4,26,0,0,0,2,3,3,0,8,167.64,165.1,135,33,1,0,0
Marcin Prachnio,2,0,0,2.39,0.39,0.0,0.0,0.0,0,2,2,0,0,0,0,0,0,0,0,190.5,187.96,205,32,1,0,0
Mariya Agapova,0,1,0,3.84,0.51,0.8,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,167.64,172.72,125,23,0,1,0
Daniel Rodriguez,0,2,0,8.6,0.48,0.4,1.94,0.83,2,0,5,0,0,0,1,0,1,0,2,185.42,187.96,170,33,0,1,0
Amanda Lemos,0,1,0,6.55,0.64,1.3,2.59,1.0,1,1,3,0,0,0,0,0,1,0,1,162.56,165.1,135,33,0,1,0
Austin Hubbard,0,1,0,3.53,0.48,0.0,0.82,0.6,1,2,11,0,0,0,1,1,0,0,2,177.8,180.34,155,28,1,0,0
Ike Villanueva,1,0,0,2.75,0.29,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,185.42,185.42,225,36,1,0,0
Carlton Minus,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,177.8,187.96,170,27,1,0,0
Timur Valiev,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,167.64,170.18,145,30,1,0,0
Stipe Miocic,0,1,0,4.95,0.52,0.0,2.2,0.37,6,3,39,6,0,0,4,9,0,0,13,193.04,203.2,240,37,1,0,0
Sean O'Malley,0,4,0,6.86,0.58,1.2,1.18,0.5,4,0,8,0,0,0,2,2,0,0,4,180.34,182.88,135,25,0,0,1
Junior Dos Santos,2,0,0,4.66,0.48,0.1,0.33,0.55,9,6,54,5,0,0,5,10,0,0,15,193.04,195.58,238,36,1,0,0
John Dodson,0,1,0,3.3,0.41,0.0,0.76,0.28,3,6,46,3,0,1,3,6,0,0,10,160.02,167.64,135,35,1,0,0
Jim Miller,0,1,0,2.81,0.4,1.9,1.68,0.41,7,13,77,0,0,2,6,3,10,0,21,172.72,180.34,155,36,0,1,0
Ashley Yoder,1,0,0,3.1,0.42,0.5,1.33,0.38,2,4,18,0,0,1,1,0,0,0,2,170.18,175.26,115,32,0,1,0
Felice Herrig,2,0,0,3.69,0.36,0.9,1.2,0.3,4,3,21,0,0,1,2,0,2,0,5,162.56,165.1,115,35,1,0,0
Herbert Burns,0,2,0,2.6,0.44,6.9,4.59,1.0,2,0,2,0,0,0,0,1,1,0,2,175.26,185.42,145,32,1,0,0
TJ Brown,1,0,0,3.47,0.54,0.7,8.33,0.85,0,1,2,0,0,0,0,0,0,0,0,175.26,182.88,145,30,0,0,1
Chris Daukaus,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,187.96,187.96,256,30,1,0,0
Derrick Lewis,0,2,0,2.53,0.49,0.0,0.48,0.24,6,5,44,1,0,2,2,10,0,0,14,190.5,200.66,260,35,1,0,0
Omari Akhmedov,0,5,1,2.99,0.34,0.2,2.4,0.5,3,3,30,0,0,1,5,2,0,0,8,182.88,185.42,185,32,1,0,0
Maki Pitolo,0,1,0,5.22,0.45,0.7,1.98,0.6,1,1,5,0,0,0,0,1,0,0,1,177.8,190.5,170,29,1,0,0
Yana Kunitskaya,1,0,0,5.05,0.52,0.3,2.39,0.53,2,2,10,1,0,0,2,0,0,0,2,167.64,172.72,135,30,1,0,0
Beneil Dariush,0,4,1,3.87,0.49,1.1,1.8,0.33,5,4,35,0,0,1,4,2,5,0,12,177.8,182.88,155,31,0,1,0
Tim Means,1,0,0,4.87,0.45,0.2,0.91,0.44,4,9,45,0,0,1,3,5,2,0,11,187.96,190.5,170,36,1,0,0
Kevin Holland,0,1,0,4.29,0.55,1.1,1.26,0.43,3,2,15,0,0,1,1,1,1,0,4,190.5,205.74,170,27,1,0,0
Nasrat Haqparast,1,0,0,5.25,0.47,0.0,0.29,0.25,3,2,12,0,0,0,2,1,0,0,3,177.8,182.88,155,24,0,1,0
Andrew Sanchez,1,0,0,4.49,0.43,0.0,2.25,0.33,2,3,21,1,0,0,4,0,0,0,4,185.42,187.96,185,32,1,0,0
Gavin Tucker,0,1,0,2.66,0.37,1.0,2.08,0.33,1,1,9,0,0,0,1,0,1,0,2,167.64,167.64,145,34,0,1,0
Youssef Zalal,0,2,0,3.0,0.53,1.0,3.0,0.42,2,0,6,0,0,0,2,0,0,0,2,177.8,182.88,145,23,0,0,1
Irwin Rivera,1,0,0,2.27,0.36,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,167.64,167.64,135,31,0,1,0
Derek Brunson,0,2,0,3.39,0.45,0.5,2.8,0.29,5,6,36,0,0,0,6,6,2,0,14,185.42,195.58,185,36,0,1,0
Joanne Calderwood,0,1,0,6.19,0.47,0.5,1.85,0.56,2,4,24,0,0,1,3,1,1,0,6,167.64,165.1,125,34,1,0,0
Vicente Luque,0,1,0,5.66,0.53,0.8,0.73,0.5,6,3,28,0,0,1,0,7,3,0,11,180.34,190.5,170,28,1,0,0
Lando Vannata,0,1,2,4.72,0.44,0.4,1.15,0.36,1,4,22,0,0,0,1,1,1,0,3,175.26,180.34,155,28,1,0,0
Frankie Saenz,1,0,0,3.97,0.46,0.1,1.77,0.32,3,4,25,0,0,2,3,0,0,0,5,167.64,167.64,135,39,1,0,0
Johnny Munoz,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,175.26,180.34,145,27,1,0,0
Jamall Emmers,1,0,0,4.96,0.52,0.0,1.42,0.33,0,1,3,0,0,0,0,0,0,0,0,177.8,187.96,145,31,1,0,0
Robert Whittaker,1,0,0,4.77,0.39,0.0,0.36,0.57,9,3,37,3,0,1,5,5,0,0,11,182.88,185.42,185,29,1,0,0
Mauricio Rua,0,1,1,3.63,0.5,0.8,2.17,0.48,8,11,76,4,0,1,3,21,1,0,26,185.42,193.04,205,38,1,0,0
Fabricio Werdum,2,0,0,3.61,0.52,1.1,1.71,0.31,6,9,71,3,0,0,6,6,10,0,22,193.04,195.58,231,42,1,0,0
Carla Esparza,0,3,0,2.3,0.41,0.3,3.28,0.33,3,4,32,2,1,1,4,0,1,0,7,154.94,160.02,115,32,1,0,0
Paul Craig,0,1,1,2.33,0.48,1.5,1.65,0.21,1,4,18,0,0,0,0,0,4,0,4,190.5,193.04,205,32,1,0,0
Alex Oliveira,0,1,0,2.88,0.5,0.6,2.69,0.37,4,6,39,0,0,1,2,4,3,0,10,180.34,193.04,170,32,1,0,0
Khamzat Chimaev,0,1,0,6.94,0.82,2.4,4.84,1.0,1,0,2,0,0,0,0,0,1,0,1,187.96,190.5,185,26,1,0,0
Francisco Trinaldo,0,2,0,3.13,0.43,0.5,1.02,0.44,7,6,53,0,0,1,8,4,2,0,15,175.26,177.8,155,41,0,1,0
Nicolas Dalby,0,1,1,3.03,0.38,0.0,1.8,0.45,1,2,15,0,0,1,1,0,0,0,2,180.34,187.96,170,35,1,0,0
Tom Aspinall,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,195.58,195.58,256,27,1,0,0
Movsar Evloev,0,2,0,4.03,0.38,0.0,4.5,0.33,2,0,6,0,0,0,2,0,0,0,2,170.18,182.88,145,26,1,0,0
Tanner Boser,0,1,0,4.28,0.5,0.0,0.0,0.0,1,1,7,0,0,0,1,1,0,0,2,187.96,190.5,255,28,1,0,0
Bethe Correia,0,1,1,4.47,0.44,0.0,0.37,0.2,3,4,27,1,0,2,2,1,0,0,5,165.1,162.56,135,37,1,0,0
Ramazan Emeev,1,0,0,2.38,0.43,0.2,1.5,0.22,3,1,12,0,0,0,3,0,0,0,3,177.8,193.04,170,33,0,1,0
Nathaniel Wood,1,0,0,4.3,0.43,1.5,1.9,0.71,3,1,10,0,0,0,0,0,3,0,3,167.64,175.26,135,27,1,0,0
Deiveson Figueiredo,0,3,0,2.54,0.52,2.4,1.81,0.5,4,1,18,1,0,1,1,4,1,0,7,165.1,172.72,125,32,1,0,0
Jack Hermansson,1,0,0,5.13,0.48,0.7,2.23,0.36,4,3,20,0,0,0,2,3,2,0,7,185.42,195.58,185,32,1,0,0
Marc Diakiese,0,2,0,2.86,0.37,0.0,2.5,0.4,3,3,21,0,0,0,3,2,0,0,5,177.8,185.42,155,27,1,0,0
Ariane Lipski,0,1,0,3.38,0.31,0.3,0.33,1.0,1,2,9,0,0,0,1,0,0,0,1,167.64,170.18,125,26,1,0,0
Alexandre Pantoja,0,1,0,4.58,0.47,1.3,1.1,0.35,3,2,18,0,0,1,1,2,2,0,6,165.1,170.18,125,30,1,0,0
Roman Dolidze,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,187.96,193.04,205,32,1,0,0
Grant Dawson,0,3,0,3.48,0.48,2.5,5.09,0.48,3,0,7,0,0,0,1,0,2,0,3,177.8,182.88,145,26,0,0,1
Joe Duffy,2,0,0,2.56,0.33,0.8,0.75,0.6,2,3,14,0,0,0,1,1,2,0,4,177.8,185.42,155,32,1,0,0
Brett Johns,0,1,0,3.3,0.48,1.0,4.29,0.52,3,2,16,0,0,0,2,0,2,0,4,170.18,180.34,135,28,1,0,0
Malcolm Gordon,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,170.18,180.34,125,30,0,0,1
Davi Ramos,1,0,0,2.74,0.39,0.7,2.42,0.5,4,2,14,0,0,0,1,0,3,0,4,167.64,177.8,155,33,1,0,0
Carlos Felipe,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,182.88,190.5,245,25,1,0,0
Calvin Kattar,0,1,0,5.29,0.41,0.0,0.42,0.28,2,2,16,0,0,0,1,4,0,0,5,180.34,182.88,145,32,1,0,0
Tim Elliott,3,0,0,3.41,0.46,1.2,4.31,0.55,2,9,33,1,0,0,3,0,1,0,4,170.18,167.64,125,33,0,1,0
Jimmie Rivera,2,0,0,4.1,0.4,0.0,0.7,0.23,5,3,23,0,0,1,4,1,0,0,6,162.56,172.72,145,31,1,0,0
Molly McCann,0,3,0,6.49,0.49,0.9,2.59,0.33,3,1,11,0,0,0,3,0,0,0,3,162.56,157.48,125,30,1,0,0
Abdul Razak Alhassan,0,3,0,4.59,0.46,0.0,0.57,0.33,3,1,7,0,0,0,0,4,0,0,4,177.8,185.42,170,34,1,0,0
John Phillips,0,1,0,2.64,0.34,0.0,0.0,0.0,1,3,8,0,0,0,0,1,0,0,1,180.34,190.5,185,35,0,1,0
Ricardo Ramos,0,2,0,3.05,0.39,0.7,2.13,0.64,3,1,14,0,0,1,2,1,1,0,5,175.26,182.88,145,24,1,0,0
Modestas Bukauskas,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,190.5,190.5,205,26,0,0,1
Jared Gordon,1,0,0,6.26,0.54,0.0,2.98,0.39,2,3,13,0,0,0,2,1,0,0,3,175.26,172.72,145,31,1,0,0
Diana Belbita,1,0,0,6.53,0.38,0.0,1.0,1.0,0,1,3,0,0,0,0,0,0,0,0,170.18,172.72,125,24,1,0,0
Jack Shore,0,1,0,3.58,0.5,1.2,4.67,0.57,1,0,3,0,0,0,0,0,1,0,1,172.72,180.34,135,25,1,0,0
Kamaru Usman,0,11,0,4.6,0.52,0.2,3.44,0.5,11,0,38,3,0,0,8,2,1,0,11,182.88,193.04,170,33,0,0,1
Alexander Volkanovski,0,8,0,6.15,0.57,0.4,2.16,0.34,8,0,23,1,0,0,5,3,0,0,8,167.64,180.34,145,31,1,0,0
Petr Yan,0,6,0,5.65,0.46,0.2,1.73,0.53,6,0,15,0,0,0,3,3,0,0,6,170.18,170.18,135,27,0,0,1
Jessica Andrade,1,0,0,6.55,0.51,0.5,3.21,0.58,4,5,36,3,0,1,5,3,2,0,11,154.94,157.48,115,28,1,0,0
Amanda Ribas,0,3,0,4.84,0.44,1.6,2.02,0.5,3,0,8,0,0,0,2,0,1,0,3,160.02,167.64,115,26,1,0,0
Volkan Oezdemir,0,2,0,4.88,0.45,0.0,0.39,0.22,3,3,18,1,0,2,0,3,0,0,5,187.96,190.5,205,30,1,0,0
Elizeu Zaleski dos Santos,0,1,0,4.17,0.39,0.5,0.65,0.2,7,2,25,0,0,1,3,3,1,0,8,180.34,185.42,170,33,1,0,0
Makwan Amirkhani,1,0,0,1.6,0.47,1.5,3.39,0.34,3,2,16,0,0,1,1,1,2,0,5,177.8,182.88,145,31,0,1,0
Leonardo Santos,0,6,1,2.4,0.41,0.4,1.1,0.25,5,0,15,1,0,1,1,2,2,0,6,182.88,190.5,155,40,1,0,0
Marcin Tybura,0,1,0,3.52,0.5,0.1,1.54,0.5,3,5,28,0,0,0,3,2,0,0,5,190.5,198.12,249,34,1,0,0
Raulian Paiva,0,1,0,4.81,0.43,0.3,0.35,0.2,1,2,6,0,0,0,0,1,0,0,1,172.72,175.26,125,24,1,0,0
Karol Rosa,0,1,0,11.4,0.48,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,165.1,170.18,135,25,1,0,0
Martin Day,1,0,0,5.6,0.49,1.0,1.0,0.66,0,1,3,0,0,0,0,0,0,0,0,177.8,185.42,135,31,1,0,0
Dustin Poirier,1,0,0,5.51,0.49,1.2,1.55,0.37,5,6,57,2,1,0,5,9,3,0,18,175.26,182.88,155,31,0,1,0
Mike Perry,2,0,0,4.27,0.47,0.0,0.61,0.41,2,6,27,0,0,1,1,4,0,0,6,177.8,180.34,170,28,1,0,0
Brendan Allen,0,2,0,2.62,0.59,4.5,2.68,0.37,2,0,3,0,0,0,0,1,1,0,2,187.96,190.5,185,24,1,0,0
Gian Villante,1,0,0,4.26,0.42,0.0,0.53,0.23,3,10,49,0,0,3,2,5,0,0,10,190.5,193.04,205,34,1,0,0
Luis Pena,0,1,0,3.32,0.46,1.0,1.0,0.29,2,2,16,0,0,0,2,1,1,0,4,190.5,190.5,155,26,0,1,0
Mara Romero Borella,3,0,0,2.54,0.37,0.2,1.66,0.43,1,4,14,0,0,1,0,0,1,0,2,167.64,175.26,125,34,1,0,0
Philipe Lins,1,0,0,2.73,0.41,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,187.96,198.12,240,34,1,0,0
Sean Woodson,0,1,0,5.27,0.43,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,187.96,198.12,145,28,1,0,0
Takashi Sato,1,0,0,3.13,0.36,0.0,0.82,0.5,1,1,5,0,0,0,0,1,0,0,1,177.8,185.42,170,30,0,1,0
Kay Hansen,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,160.02,160.02,115,20,1,0,0
Jordan Griffin,0,1,0,2.87,0.48,2.5,0.35,0.2,1,2,8,0,0,0,0,0,1,0,1,177.8,185.42,145,30,0,1,0
Curtis Blaydes,0,3,0,3.74,0.51,0.0,6.63,0.55,5,2,25,0,0,0,3,5,0,0,8,193.04,203.2,265,29,1,0,0
Josh Emmett,0,2,0,3.63,0.36,0.2,1.5,0.45,2,2,19,0,0,1,2,3,0,0,6,167.64,177.8,145,35,1,0,0
Raquel Pennington,1,0,0,3.32,0.46,0.8,1.13,0.27,4,5,35,1,0,2,3,0,2,0,7,170.18,170.18,135,31,1,0,0
Belal Muhammad,0,2,0,4.37,0.41,0.2,2.15,0.31,4,3,28,0,0,1,4,1,1,0,7,180.34,182.88,170,31,1,0,0
Jim Miller,1,0,0,2.83,0.4,1.9,1.69,0.41,7,13,76,0,0,2,6,3,9,0,20,172.72,180.34,155,36,0,1,0
Clay Guida,1,0,0,2.45,0.33,0.7,3.39,0.38,4,14,84,2,0,3,8,2,4,0,17,170.18,177.8,155,38,1,0,0
Tecia Torres,4,0,0,4.04,0.47,0.1,0.67,0.14,3,5,32,0,0,0,5,0,1,0,6,154.94,152.4,115,30,1,0,0
Marc-Andre Barriault,3,0,0,3.53,0.43,0.0,0.33,0.16,0,3,9,0,0,0,0,0,0,0,0,185.42,187.96,185,30,1,0,0
Cortney Casey,0,1,0,4.72,0.38,0.7,0.34,0.3,2,6,27,0,0,1,1,1,2,0,5,170.18,170.18,125,33,1,0,0
Frank Camacho,1,0,0,6.68,0.46,0.0,1.18,0.45,1,4,14,0,0,1,0,1,0,0,2,177.8,185.42,170,31,1,0,0
Roxanne Modafferi,0,1,0,3.06,0.31,0.1,1.45,0.21,1,6,26,2,0,1,1,1,0,0,3,170.18,175.26,125,37,1,0,0
Austin Hubbard,1,0,0,3.02,0.44,0.0,1.0,0.6,1,2,9,0,0,0,1,0,0,0,1,177.8,180.34,155,28,1,0,0
Jessica Eye,0,1,0,3.79,0.38,0.7,0.46,0.45,3,6,8,1,0,2,2,1,0,0,5,167.64,167.64,125,33,1,0,0
Karl Roberson,0,2,0,3.16,0.52,0.8,1.07,0.57,2,2,7,0,0,1,1,0,2,0,4,185.42,187.96,185,29,0,1,0
Charles Rosa,1,0,0,3.21,0.36,1.0,2.35,0.34,1,4,15,0,0,0,1,0,2,0,3,175.26,175.26,145,33,0,0,1
Andre Fili,1,0,0,4.0,0.37,0.2,2.49,0.45,2,6,12,0,0,1,4,3,0,0,8,180.34,187.96,145,29,1,0,0
Jordan Espinosa,2,0,0,4.25,0.55,0.4,0.85,0.2,1,2,0,0,0,0,1,0,0,0,1,167.64,175.26,125,30,1,0,0
Mariya Agapova,0,0,0,2.6,0.48,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,167.64,172.72,125,23,0,1,0
Merab Dvalishvili,0,3,0,3.84,0.37,0.0,7.8,0.45,3,2,7,0,0,0,3,0,0,0,3,167.64,172.72,135,29,1,0,0
Julia Avila,0,1,0,3.27,0.4,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,170.18,172.72,135,32,1,0,0
Tyson Nam,2,0,0,3.0,0.27,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,170.18,172.72,125,36,1,0,0
Anthony Ivy,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,187.96,187.96,185,30,1,0,0
Amanda Nunes,0,10,0,4.34,0.49,0.7,2.33,0.47,10,2,32,7,0,1,2,8,2,0,13,172.72,175.26,145,32,1,0,0
Raphael Assuncao,2,0,0,3.32,0.41,0.3,1.54,0.38,7,6,54,0,0,4,7,2,1,0,14,165.1,167.64,135,37,1,0,0
Aljamain Sterling,0,4,0,4.85,0.5,0.8,1.91,0.29,4,3,35,0,0,0,6,1,3,0,10,170.18,180.34,135,30,1,0,0
Neil Magny,0,1,0,3.93,0.46,0.3,2.7,0.47,7,6,55,0,0,1,8,5,1,0,15,190.5,203.2,170,32,1,0,0
Eddie Wineland,0,1,0,3.41,0.29,0.1,0.28,0.28,4,9,47,3,0,1,2,8,0,0,11,170.18,175.26,135,35,1,0,0
Alex Caceres,0,1,0,3.98,0.48,0.8,0.53,0.75,4,10,55,0,0,3,4,1,2,0,10,177.8,185.42,145,31,0,1,0
Ian Heinisch,2,0,0,3.38,0.5,0.5,1.18,0.19,2,2,12,0,0,0,2,0,0,0,2,180.34,182.88,185,31,1,0,0
Cody Stamann,0,1,1,4.25,0.49,0.0,3.58,0.48,3,1,17,0,0,2,2,0,0,0,4,167.64,162.56,135,30,1,0,0
Charles Byrd,2,0,0,3.86,0.57,1.9,2.52,0.5,1,2,4,0,0,0,0,0,1,0,1,177.8,185.42,185,36,1,0,0
Jussier Formiga,2,0,0,1.35,0.39,0.6,1.87,0.35,4,6,37,0,0,0,6,0,3,0,9,165.1,170.18,125,35,1,0,0
Alonzo Menifield,0,2,0,5.07,0.48,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,182.88,193.04,205,32,1,0,0
Evan Dunham,2,0,1,5.35,0.39,1.0,1.83,0.33,4,8,49,0,0,3,5,2,1,0,11,177.8,177.8,155,38,0,1,0
Tyron Woodley,1,0,1,2.5,0.49,0.5,1.21,0.41,8,4,58,7,1,3,3,6,4,0,17,175.26,187.96,170,38,1,0,0
Blagoy Ivanov,1,0,0,3.09,0.38,0.2,1.07,0.62,2,2,14,0,0,0,2,0,0,0,2,180.34,185.42,250,33,0,1,0
Billy Quarantillo,0,1,0,10.77,0.81,4.0,0.8,0.25,1,0,2,0,0,0,0,0,1,0,1,177.8,177.8,145,31,1,0,0
Roosevelt Roberts,0,1,0,2.87,0.46,0.5,1.84,0.63,2,1,10,0,0,0,2,0,1,0,3,187.96,185.42,155,26,1,0,0
Mackenzie Dern,1,0,0,3.24,0.32,0.9,0.46,0.08,2,1,7,0,0,1,0,0,1,0,2,162.56,160.02,115,27,1,0,0
Katlyn Chookagian,1,0,0,4.11,0.32,0.1,0.0,0.0,3,3,27,1,0,1,5,0,0,0,6,175.26,172.72,125,31,1,0,0
Daniel Rodriguez,0,1,0,6.65,0.45,0.6,2.54,0.8,1,0,2,0,0,0,0,0,1,0,1,185.42,187.96,170,33,0,1,0
Jamahal Hill,0,1,0,7.92,0.52,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,193.04,200.66,205,29,0,1,0
Tim Elliott,2,0,0,3.49,0.46,1.2,4.14,0.57,2,8,31,1,0,0,3,0,1,0,4,170.18,167.64,125,33,0,1,0
Louis Smolka,0,1,0,4.22,0.46,2.1,1.65,0.34,4,6,30,0,0,0,2,3,2,0,7,177.8,185.42,135,28,1,0,0
Chris Gutierrez,0,2,0,3.65,0.55,0.0,0.38,0.33,2,1,8,0,0,1,1,0,0,0,2,175.26,170.18,145,29,1,0,0
Alistair Overeem,0,1,0,3.66,0.63,0.9,1.4,0.54,11,15,76,3,0,0,0,0,0,0,32,193.04,203.2,265,39,1,0,0
Claudia Gadelha,0,2,0,3.4,0.41,0.7,3.13,0.45,2,4,30,1,0,0,0,0,0,0,7,162.56,160.02,115,31,1,0,0
Dan Ige,0,6,0,4.12,0.48,0.7,2.15,0.34,6,1,14,0,0,0,0,0,0,0,6,170.18,180.34,145,28,1,0,0
Krzysztof Jotko,0,3,0,2.98,0.45,0.1,1.27,0.35,5,4,32,0,0,0,0,0,0,0,9,185.42,195.58,185,30,0,1,0
Song Yadong,0,5,1,4.32,0.42,0.5,0.73,0.75,4,0,10,0,0,0,0,0,0,0,5,172.72,170.18,145,22,1,0,0
Miguel Baeza,0,2,0,4.78,0.56,1.1,0.54,0.33,2,0,2,0,0,0,0,0,0,0,2,187.96,187.96,170,27,1,0,0
Kevin Holland,0,1,0,4.29,0.55,1.1,1.26,0.43,3,2,14,0,0,0,0,0,0,0,4,190.5,205.74,170,27,1,0,0
Giga Chikadze,0,3,0,3.31,0.44,0.0,0.51,0.5,3,0,6,0,0,0,0,0,0,0,3,182.88,187.96,145,31,1,0,0
Nate Landwehr,0,1,0,6.89,0.5,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,1,175.26,182.88,145,31,1,0,0
Cortney Casey,0,1,0,4.72,0.38,0.7,0.34,0.3,2,6,26,0,0,0,0,0,0,0,5,170.18,170.18,125,33,1,0,0
Rodrigo Nascimento,0,1,0,4.44,0.56,2.9,2.9,1.0,1,0,0,0,0,0,0,0,0,0,1,187.96,203.2,246,27,1,0,0
Anthony Smith,0,1,0,3.06,0.47,0.8,0.41,0.26,3,6,37,1,0,0,1,6,3,0,10,193.04,193.04,205,31,1,0,0
Ben Rothwell,0,1,0,3.34,0.42,0.3,0.66,0.33,6,7,45,0,0,1,2,9,2,0,14,193.04,198.12,265,38,1,0,0
Alexander Hernandez,0,1,0,3.07,0.41,0.0,1.52,0.3,2,1,9,0,0,0,2,1,0,0,3,175.26,182.88,155,27,1,0,0
Ricky Simon,2,0,0,2.96,0.4,0.2,6.53,0.49,3,2,13,0,0,0,2,1,0,0,3,167.64,175.26,135,27,1,0,0
Andrei Arlovski,1,0,0,3.55,0.44,0.3,0.52,0.36,6,17,77,5,0,1,5,11,2,0,19,190.5,195.58,240,41,1,0,0
Michael Johnson,2,0,0,4.22,0.37,0.1,0.52,0.45,4,11,56,1,0,1,6,4,0,0,11,177.8,185.42,155,33,0,1,0
Sijara Eubanks,2,0,0,4.77,0.39,0.0,2.0,0.44,2,2,12,0,0,0,2,0,0,0,2,162.56,170.18,135,35,1,0,0
Gabriel Benitez,1,0,0,4.32,0.41,1.5,0.21,1.0,2,3,17,0,0,0,2,1,2,0,5,172.72,180.34,155,31,0,1,0
Hunter Azure,0,1,0,4.0,0.5,2.5,2.0,0.33,1,0,3,0,0,0,1,0,0,0,1,172.72,175.26,145,28,1,0,0
Chase Sherman,3,0,0,5.81,0.43,0.0,0.0,0.0,2,5,17,0,0,0,1,1,0,0,2,193.04,198.12,250,30,1,0,0
Vicente Luque,1,0,0,5.18,0.53,1.0,0.82,0.5,6,3,25,0,0,1,0,6,3,0,10,180.34,190.5,170,30,1,0,0
Bryce Mitchell,0,3,0,1.78,0.5,1.8,1.75,0.28,3,0,7,0,1,0,1,0,1,0,3,177.8,177.8,145,25,0,1,0
Ryan Spann,0,3,0,3.26,0.43,2.4,0.6,0.33,3,0,6,0,0,0,1,1,1,0,3,195.58,200.66,205,28,1,0,0
Anthony Pettis,2,0,0,2.97,0.46,1.2,0.67,0.54,5,10,60,4,0,1,2,4,7,0,14,177.8,182.88,155,33,1,0,0
Aleksei Oleinik,0,1,0,3.08,0.5,2.8,3.01,0.46,2,4,16,0,0,0,0,1,6,0,7,187.96,203.2,240,42,1,0,0
Carla Esparza,0,2,0,2.22,0.4,0.3,3.53,0.36,2,4,29,2,1,0,4,0,1,0,6,154.94,160.02,115,32,1,0,0
Uriah Hall,0,2,0,3.31,0.5,0.2,0.75,0.38,3,7,32,0,0,1,1,6,0,0,8,182.88,200.66,185,35,1,0,0
Tony Ferguson,0,12,0,5.81,0.45,1.4,0.56,0.42,12,1,35,1,0,1,3,5,6,0,15,180.34,193.04,155,36,1,0,0
Henry Cejudo,0,5,0,3.82,0.44,0.2,2.16,0.35,5,2,30,4,0,2,4,3,0,0,9,162.56,162.56,135,33,1,0,0
Francis Ngannou,0,3,0,2.15,0.37,0.5,0.0,0.0,6,2,18,1,0,0,0,8,1,0,9,193.04,210.82,250,33,1,0,0
Jeremy Stephens,3,0,0,3.09,0.4,0.4,1.18,0.38,3,16,82,0,0,1,6,8,0,0,15,175.26,180.34,145,33,1,0,0
Greg Hardy,1,0,0,4.77,0.49,0.0,0.0,0.0,2,2,10,0,0,0,0,2,0,0,2,195.58,203.2,265,31,1,0,0
Kevin Lee,0,1,0,3.9,0.42,0.9,3.23,0.42,5,5,41,1,0,1,3,3,4,0,11,175.26,195.58,170,27,1,0,0
Demian Maia,0,3,0,1.82,0.43,1.0,2.49,0.25,7,9,85,2,1,1,8,1,11,0,22,185.42,182.88,170,42,0,1,0
Renato Moicano,2,0,0,5.53,0.46,0.4,1.16,0.54,3,3,18,0,0,2,1,0,2,0,5,180.34,182.88,155,30,1,0,0
Johnny Walker,1,0,0,5.17,0.69,2.3,0.75,1.0,3,1,4,0,0,0,0,3,0,0,3,198.12,208.28,205,27,1,0,0
Francisco Trinaldo,0,1,0,3.09,0.44,0.5,1.08,0.45,7,6,50,0,0,1,7,4,2,0,14,175.26,177.8,155,41,0,1,0
