B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,B_Orthodox,B_Southpaw,B_Switch
Anthony Pettis,1,0,0,35.53333333,0.47533333299999997,0.666666667,0.533333333,0.14400000000000002,5,7,38,4,0,1,1,2,4,0,8,177.8,182.88,170,32,1,0,0
Justin Willis,0,4,0,52.25,0.5825,0.0,1.0,0.3125,4,0,10,0,0,0,3,1,0,0,4,185.42,198.12,264,31,0,1,0
Jesus Pinedo,0,1,0,60.0,0.42,0.0,5.0,1.0,1,0,3,0,0,0,1,0,0,0,1,177.8,187.96,155,22,0,1,0
Deiveson Figueiredo,0,3,0,26.33333333,0.543333333,2.333333333,1.6666666669999999,0.583333333,3,0,7,0,0,1,0,2,0,0,3,165.1,172.72,125,31,1,0,0
Steven Peterson,0,1,0,73.5,0.335,0.5,1.5,0.215,1,1,6,0,0,1,0,0,0,0,1,177.8,177.8,145,28,1,0,0
JJ Aldrich,0,3,0,55.75,0.405,0.0,0.25,0.05,3,1,12,0,0,0,3,0,0,0,3,165.1,170.18,125,26,0,1,0
Bobby Moffett,0,1,0,20.0,0.35,1.0,1.0,1.0,1,0,2,0,0,0,0,0,1,0,1,177.8,187.96,145,28,1,0,0
Frankie Saenz,0,2,0,58.25,0.465,0.125,1.75,0.26375,3,3,24,0,0,2,3,0,0,0,5,167.64,167.64,135,38,1,0,0
Jennifer Maia,1,0,0,42.0,0.4,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,162.56,162.56,125,30,1,0,0
Angela Hill,1,0,0,78.0,0.50375,0.0,0.375,0.3125,1,5,22,0,0,0,3,0,0,0,3,160.02,162.56,115,34,1,0,0
Chris Gutierrez,1,0,0,26.0,0.5,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,175.26,175.26,135,27,1,0,0
Jordan Espinosa,0,0,0,29.93808240964097,0.58,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,167.64,180.34,125,29,1,0,0
Jorge Masvidal,2,0,0,54.46666667,0.5046666670000001,0.46666666700000003,1.0,0.33,3,6,41,0,0,0,5,3,1,0,9,180.34,187.96,170,34,1,0,0
Gunnar Nelson,0,1,0,17.63636364,0.663636364,0.727272727,1.0909090909999999,0.604545455,4,3,23,0,0,0,1,0,7,0,8,180.34,182.88,170,30,0,0,1
Dominick Reyes,0,3,0,43.33333333,0.536666667,0.333333333,0.333333333,0.333333333,3,0,5,0,0,0,1,1,1,0,3,193.04,195.58,205,29,0,1,0
Jose Quinonez,0,4,0,40.8,0.488,0.8,2.4,0.498,4,1,13,1,0,0,3,0,1,0,4,172.72,175.26,135,28,0,0,1
Claudio Silva,0,3,0,29.33333333,0.45333333299999995,0.666666667,2.333333333,0.286666667,3,0,7,0,0,1,1,0,1,0,3,180.34,180.34,170,36,0,1,0
John Phillips,2,0,0,25.5,0.165,0.0,0.0,0.0,0,2,4,0,0,0,0,0,0,0,0,180.34,190.5,185,33,0,1,0
Jordan Rinaldi,0,1,0,12.75,0.435,1.0,1.25,0.2575,1,2,8,0,0,0,1,0,1,0,2,177.8,182.88,145,31,1,0,0
Joe Duffy,1,0,0,23.16666667,0.35166666700000004,0.5,0.333333333,0.166666667,2,2,11,0,0,0,1,1,2,0,4,177.8,185.42,155,31,1,0,0
Saparbeg Safarov,2,0,0,22.5,0.32,0.0,1.0,0.2,0,2,3,0,0,0,0,0,0,0,0,185.42,198.12,205,32,1,0,0
Dan Ige,0,2,0,38.66666667,0.58,0.0,1.6666666669999999,0.496666667,2,1,7,0,0,0,1,1,0,0,2,170.18,180.34,145,27,1,0,0
Priscila Cachoeira,1,0,0,2.0,0.16,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,170.18,165.1,125,30,1,0,0
Nad Narimani,0,2,0,64.5,0.55,0.0,3.5,0.37,2,0,6,0,0,0,2,0,0,0,2,172.72,177.8,145,31,1,0,0
Junior Dos Santos,0,2,0,57.5,0.513888889,0.055555556,0.27777777800000003,0.194444444,9,4,49,5,0,0,5,9,0,0,14,193.04,195.58,238,35,1,0,0
Curtis Millender,0,3,0,58.0,0.456666667,0.0,0.333333333,0.333333333,3,0,8,0,0,0,2,1,0,0,3,187.96,193.04,170,31,1,0,0
Niko Price,1,0,0,14.85714286,0.362857143,0.7142857140000001,0.571428571,0.164285714,2,3,11,0,0,0,0,2,2,0,4,182.88,193.04,170,29,1,0,0
Ben Rothwell,1,0,0,27.6,0.425,0.4,0.7,0.085,4,4,23,0,0,0,1,3,2,0,6,193.04,198.12,265,37,1,0,0
Drew Dober,0,3,0,39.72727273,0.36,0.090909091,0.636363636,0.12272727300000001,3,5,23,0,0,0,3,2,1,0,6,172.72,177.8,155,30,0,1,0
Omari Akhmedov,1,0,0,32.88888889,0.371111111,0.222222222,2.111111111,0.39777777799999997,2,4,21,0,0,1,2,2,0,0,5,182.88,185.42,185,31,1,0,0
Sergio Moraes,0,2,0,31.18181818,0.484545455,0.454545455,0.9090909090000001,0.304545455,4,3,28,1,0,2,2,1,3,0,8,182.88,182.88,170,36,1,0,0
Yana Kunitskaya,0,1,0,38.5,0.545,0.5,3.0,0.435,1,1,4,1,0,0,1,0,0,0,1,167.64,172.72,135,29,1,0,0
Julian Erosa,2,0,0,27.0,0.496666667,0.666666667,1.0,0.553333333,1,2,6,0,0,1,0,0,0,0,1,185.42,187.96,145,29,0,1,0
Jeff Hughes,0,0,0,29.93808240964097,0.51,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,187.96,198.12,250,30,1,0,0
Matt Schnell,0,2,0,34.75,0.3675,0.5,0.25,0.25,2,2,8,0,0,1,1,0,0,0,2,172.72,177.8,135,29,1,0,0
Zak Ottow,0,1,0,27.57142857,0.358571429,0.28571428600000004,0.571428571,0.152857143,1,3,16,0,0,3,0,1,0,0,4,180.34,182.88,170,32,1,0,0
Dan Moret,1,0,0,20.0,0.34,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,182.88,185.42,155,32,0,1,0
Anthony Smith,0,3,0,32.9,0.504,0.4,0.4,0.106,3,3,22,0,0,0,1,5,1,0,7,193.04,193.04,205,30,1,0,0
Kamaru Usman,0,9,0,58.55555556,0.526666667,0.222222222,4.444444444,0.39888888899999997,9,0,28,1,0,0,7,1,1,0,9,182.88,193.04,170,31,0,0,1
Ben Askren,0,0,0,29.93808240964097,0.49,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,180.34,185.42,170,34,1,0,0
Weili Zhang,0,2,0,61.0,0.58,1.0,1.0,0.415,2,0,4,0,0,0,1,0,1,0,2,162.56,160.02,115,29,0,0,1
Pedro Munhoz,0,2,0,43.0,0.496363636,0.727272727,0.636363636,0.254545455,4,4,22,0,0,0,2,2,3,0,7,167.64,165.1,135,32,1,0,0
Zabit Magomedsharipov,0,4,0,53.5,0.58,1.0,5.75,0.59,4,0,10,0,0,0,1,0,3,0,4,185.42,185.42,145,28,1,0,0
Johnny Walker,0,2,0,8.5,0.885,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,195.58,208.28,205,26,1,0,0
Alejandro Perez,0,4,0,40.22222222,0.347777778,0.111111111,0.333333333,0.11,4,2,21,1,0,1,3,3,0,0,7,167.64,170.18,135,29,1,0,0
Mickey Gall,0,1,0,7.6,0.41,1.8,0.8,0.6,3,1,8,0,0,0,0,0,4,0,4,187.96,187.96,170,27,0,0,1
Charles Byrd,1,0,0,24.5,0.69,0.5,0.5,0.5,1,1,3,0,0,0,0,0,1,0,1,177.8,185.42,185,35,1,0,0
Macy Chiasson,0,1,0,24.0,0.48,2.0,0.0,0.0,1,0,2,1,0,0,0,0,1,0,1,180.34,182.88,135,27,1,0,0
Hannah Cifers,1,0,0,41.0,0.59,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,154.94,160.02,115,26,1,0,0
Thiago Santos,0,3,0,32.17647059,0.464705882,0.058823529000000006,0.41176470600000004,0.161764706,4,5,29,0,0,0,2,10,0,0,12,187.96,193.04,205,35,1,0,0
Marcos Rogerio de Lima,0,1,0,14.75,0.55,0.375,0.375,0.075,2,3,11,0,0,0,1,3,1,0,5,185.42,190.5,253,33,1,0,0
Michal Oleksiejczuk,1,0,0,76.0,0.58,0.0,2.0,0.66,0,1,3,0,0,0,0,0,0,0,0,182.88,187.96,205,24,0,1,0
Lucie Pudilova,1,0,0,83.0,0.4125,0.5,0.0,0.0,2,2,12,0,0,0,2,0,0,0,2,172.72,170.18,125,24,1,0,0
Petr Yan,0,3,0,67.0,0.563333333,0.333333333,1.0,0.25,3,0,6,0,0,0,1,2,0,0,3,170.18,170.18,135,26,0,0,1
Klidson Abreu,0,0,0,29.93808240964097,0.39,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,235,26,1,0,0
Carlo Pedersoli,1,0,0,34.5,0.435,0.0,1.5,0.375,1,1,4,0,0,1,0,0,0,0,1,180.34,190.5,170,25,0,1,0
Chris Fishgold,1,0,0,20.0,0.26,0.0,1.0,0.5,0,1,1,0,0,0,0,0,0,0,0,172.72,172.72,145,26,1,0,0
Gillian Robertson,1,0,0,10.0,0.42666666700000005,0.666666667,1.333333333,0.61,2,1,4,0,0,0,0,0,2,0,2,165.1,160.02,125,23,1,0,0
Polo Reyes,0,1,0,45.8,0.382,0.0,0.0,0.0,3,1,9,0,0,1,0,3,0,0,4,180.34,180.34,155,34,1,0,0
Ismail Naurdiev,0,0,0,29.93808240964097,0.56,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,177.8,187.96,170,22,1,0,0
Diego Ferreira,0,3,0,31.57142857,0.43714285700000005,0.571428571,0.428571429,0.214285714,3,2,13,0,0,0,1,3,1,0,5,175.26,187.96,155,34,1,0,0
Joel Alvarez,0,0,0,29.93808240964097,0.33,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,190.5,195.58,155,24,1,0,0
Cain Velasquez,0,1,0,51.28571429,0.5928571429999999,0.214285714,2.4285714290000002,0.43285714299999994,7,2,28,6,0,0,2,10,0,0,12,185.42,195.58,240,36,1,0,0
Paul Felder,1,0,0,40.36363636,0.462727273,0.272727273,0.272727273,0.13636363599999998,3,4,27,0,0,1,1,4,1,0,7,180.34,177.8,155,34,1,0,0
Cynthia Calvillo,0,1,0,35.4,0.426,1.8,1.4,0.6779999999999999,3,1,11,0,0,0,1,0,3,0,4,162.56,162.56,115,31,1,0,0
Kron Gracie,0,0,0,29.93808240964097,0.41,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,175.26,177.8,145,30,0,1,0
Bryan Barberena,0,1,0,54.375,0.505,0.25,0.25,0.16625,2,3,19,0,0,0,1,3,1,0,5,182.88,182.88,170,29,0,1,0
Myles Jury,1,0,0,22.81818182,0.366363636,0.181818182,1.454545455,0.45090909100000004,6,3,22,0,0,1,3,3,1,0,8,177.8,185.42,145,30,1,0,0
Aljamain Sterling,0,2,0,47.81818182,0.48272727299999996,0.818181818,1.9090909090000001,0.455454545,4,3,29,0,0,0,4,1,3,0,8,170.18,180.34,135,29,1,0,0
Manny Bermudez,0,2,0,7.5,0.51,2.5,0.5,0.1,2,0,3,0,0,0,0,0,2,0,2,177.8,180.34,135,24,1,0,0
Andrea Lee,0,1,0,56.0,0.6,2.0,3.0,0.6,1,0,3,0,0,0,1,0,0,0,1,167.64,175.26,125,30,1,0,0
Nik Lentz,0,1,0,42.61904762,0.523333333,1.095238095,2.904761905,0.317619048,4,8,56,0,0,2,6,3,2,0,13,172.72,172.72,155,34,1,0,0
