B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,B_Orthodox,B_Southpaw,B_Switch
Frankie Edgar,2,0,1,3.6,0.4,0.3,2.34,0.31,5,8,89,9,0,0,10,5,2,0,17,167.64,172.72,135,38,1,0,0
Mike Rodriguez,1,0,0,4.3,0.52,0.0,0.0,0.0,1,2,8,0,0,0,0,1,0,0,1,193.04,208.28,205,31,0,1,0
Shana Dobson,3,0,0,3.63,0.34,0.0,0.39,0.25,1,3,9,0,0,0,0,1,0,0,1,167.64,175.26,125,31,1,0,0
Dwight Grant,0,2,0,2.87,0.36,0.0,0.36,1.0,2,1,7,0,0,1,0,1,0,0,2,185.42,193.04,170,35,0,0,1
Mizuki Inoue,0,1,0,6.2,0.45,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,160.02,165.1,125,26,1,0,0
Joe Solecki,0,1,0,3.67,0.76,0.8,3.99,0.83,1,0,3,0,0,0,1,0,0,0,1,175.26,177.8,155,26,1,0,0
Jordan Wright,0,0,0,3.0,0.28,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,187.96,195.58,205,28,1,0,0
Matthew Semelsberger,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,185.42,185.42,170,27,1,0,0
Trevin Jones,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,170.18,177.8,140,30,0,1,0
Daniel Cormier,1,0,0,4.25,0.52,0.5,1.95,0.44,12,2,58,10,0,1,6,8,4,0,19,180.34,182.88,235,41,1,0,0
Marlon Vera,1,0,0,3.7,0.48,1.3,0.88,0.42,5,5,34,0,0,0,1,4,4,0,9,172.72,177.8,145,27,0,0,1
Jairzinho Rozenstruik,1,0,0,3.84,0.48,0.0,0.0,0.0,4,1,10,0,0,0,0,4,0,0,4,193.04,198.12,242,32,1,0,0
Merab Dvalishvili,0,4,0,4.01,0.39,0.3,8.67,0.5,4,2,18,0,0,0,4,0,0,0,4,167.64,172.72,135,29,1,0,0
Vinc Pichel,0,1,0,3.29,0.45,0.4,4.0,0.6,4,2,16,0,0,0,4,1,0,0,5,177.8,182.88,155,37,1,0,0
Livinha Souza,1,0,0,1.79,0.37,1.9,3.35,0.5,2,1,7,0,0,1,0,0,1,0,2,160.02,160.02,115,29,1,0,0
Virna Jandiroba,0,1,0,1.13,0.42,2.1,4.23,0.46,1,1,5,0,0,0,0,0,1,0,1,160.02,162.56,115,32,1,0,0
Daniel Pineda,2,0,0,2.99,0.43,2.0,1.46,0.25,2,4,13,0,0,0,0,0,3,0,3,170.18,177.8,145,35,1,0,0
Danny Chavez,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,172.72,172.72,145,33,1,0,0
Parker Porter,0,0,0,8.54,0.47,1.9,1.91,1.0,0,0,0,0,0,0,0,0,0,0,0,172.0,172.0,260,30,1,0,0
Aleksei Oleinik,0,2,0,3.72,0.5,2.2,2.41,0.46,2,4,19,0,0,1,0,1,6,0,8,187.96,203.2,240,43,1,0,0
Chris Weidman,2,0,0,3.14,0.42,1.0,3.82,0.5,9,5,36,5,0,0,3,4,3,0,10,187.96,198.12,205,36,1,0,0
Darren Stewart,0,2,0,2.94,0.44,0.0,1.38,0.44,2,4,20,0,0,1,1,2,0,0,4,182.88,187.96,185,29,1,0,0
Julija Stoliarenko,1,0,0,3.8,0.36,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,170.18,167.64,135,27,1,0,0
Scott Holtzman,0,2,0,4.52,0.49,0.2,2.23,0.6,3,3,29,0,0,0,4,2,1,0,7,175.26,175.26,155,36,1,0,0
Laureano Staropoli,1,0,0,4.29,0.31,0.0,0.33,0.25,2,1,9,0,0,0,2,0,0,0,2,185.42,180.34,170,27,1,0,0
Joaquin Buckley,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,185,26,1,0,0
Alex Munoz,0,0,0,4.07,0.63,0.0,4.0,0.66,0,0,0,0,0,0,0,0,0,0,0,175.26,175.26,155,30,0,0,1
Wellington Turman,0,1,0,2.43,0.42,1.0,3.0,0.37,1,1,6,0,0,0,1,0,0,0,1,182.88,182.88,185,24,1,0,0
Justin Jaynes,0,1,0,23.41,0.53,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,170.18,172.72,155,30,1,0,0
Peter Barrett,0,0,0,7.27,0.72,0.0,4.0,0.25,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,145,33,0,1,0
Ali Qaisi,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,172.72,172.72,135,29,1,0,0
Edmen Shahbazyan,0,4,0,4.11,0.52,0.8,6.77,0.4,4,0,6,0,0,1,0,2,1,0,4,187.96,187.96,185,22,1,0,0
Jennifer Maia,1,0,0,4.05,0.38,0.0,0.25,0.5,2,2,12,0,0,0,2,0,0,0,2,162.56,162.56,125,31,1,0,0
Randy Brown,0,2,0,3.41,0.47,0.6,0.95,0.46,2,3,23,0,0,0,2,2,2,0,6,190.5,198.12,170,30,1,0,0
Bobby Green,0,1,1,5.01,0.49,0.4,1.19,0.31,8,7,47,0,0,2,4,1,3,0,10,177.8,180.34,155,33,1,0,0
Jonathan Martinez,1,0,0,3.67,0.47,0.0,0.51,0.28,2,2,12,0,0,0,1,1,0,0,2,172.72,177.8,135,26,0,1,0
Nate Maness,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,177.8,182.88,135,29,1,0,0
Vince Cachero,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,167.64,172.72,145,30,1,0,0
Darren Till,0,1,1,2.41,0.46,0.0,0.66,0.41,4,2,24,1,0,1,3,2,0,0,6,182.88,187.96,185,27,0,1,0
Rogerio Nogueira,1,0,0,2.39,0.34,0.8,0.67,0.44,7,8,57,0,0,3,4,8,4,0,19,187.96,190.5,205,44,0,1,0
Alexander Gustafsson,2,0,0,4.02,0.4,0.4,1.56,0.39,6,6,42,3,0,0,3,5,2,0,10,195.58,200.66,205,33,1,0,0
Marina Rodriguez,0,2,2,5.6,0.5,0.2,0.48,0.33,2,0,12,0,0,0,2,0,0,0,2,167.64,165.1,115,33,1,0,0
Gadzhimurad Antigulov,2,0,0,2.32,0.51,3.5,8.7,0.41,2,2,4,0,0,0,0,0,2,0,2,180.34,177.8,205,33,1,0,0
Peter Sobotta,1,0,0,2.17,0.39,0.6,1.76,0.35,2,5,22,0,0,0,2,1,1,0,4,182.88,190.5,170,33,0,1,0
Rhys McKee,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,185.42,185.42,170,30,1,0,0
Jai Herbert,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,185.42,185.42,155,32,1,0,0
Jesse Ronson,3,0,0,3.09,0.46,0.3,0.67,0.4,0,3,9,0,0,0,0,0,0,0,0,177.8,182.88,155,34,0,1,0
Jake Collier,0,1,0,4.15,0.39,0.5,0.72,0.23,1,3,14,0,0,1,1,1,0,0,3,190.5,198.12,205,31,1,0,0
Mike Grundy,0,1,0,3.4,0.58,0.0,1.55,0.33,1,0,2,0,0,0,0,1,0,0,1,170.18,182.88,145,33,1,0,0
Raphael Pessoa,0,1,0,2.4,0.25,0.0,0.0,0.0,1,1,4,0,0,0,1,0,0,0,1,190.5,198.12,262,31,1,0,0
Pannie Kianzad,0,1,0,4.03,0.41,0.4,0.4,0.2,1,2,8,1,0,0,1,0,0,0,1,170.18,167.64,135,28,1,0,0
Niklas Stolze,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,170,27,0,0,1
John Castaneda,0,0,0,3.2,0.46,0.0,2.0,0.28,0,0,0,0,0,0,0,0,0,0,0,170.18,177.8,135,28,0,0,1
Joseph Benavidez,1,0,0,3.53,0.34,0.6,1.5,0.3,6,6,67,4,0,1,10,6,4,0,21,162.56,165.1,125,35,0,1,0
Kelvin Gastelum,2,0,0,3.75,0.43,0.1,0.8,0.35,5,5,43,2,0,3,2,3,2,0,10,175.26,180.34,185,28,0,1,0
Rafael Fiziev,0,1,0,4.08,0.5,0.0,0.91,1.0,1,1,4,0,0,0,1,0,0,0,1,172.72,180.34,155,27,0,0,1
Luana Carolina,0,1,0,6.53,0.5,2.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,167.64,175.26,125,27,1,0,0
Askar Askarov,0,1,1,3.43,0.48,0.0,2.0,0.22,1,0,6,0,0,0,1,0,0,0,1,167.64,170.18,125,27,1,0,0
Khadis Ibragimov,2,0,0,5.23,0.52,0.0,1.67,0.3,0,2,6,0,0,0,0,0,0,0,0,190.5,198.12,205,25,1,0,0
Nad Narimani,1,0,0,3.8,0.43,0.0,2.64,0.41,2,1,8,0,0,0,2,0,0,0,2,172.72,177.8,145,33,1,0,0
Joel Alvarez,0,1,0,2.55,0.33,0.0,0.0,0.0,1,1,5,0,0,0,0,1,0,0,1,190.5,195.58,155,26,1,0,0
Montel Jackson,0,3,0,4.16,0.55,0.2,4.84,0.79,3,1,10,0,0,0,2,0,1,0,3,177.8,190.5,135,28,0,1,0
Amir Albazi,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,165.1,172.72,125,26,1,0,0
Arman Tsarukyan,0,1,0,2.0,0.4,0.0,1.5,0.13,1,1,6,0,0,0,1,0,0,0,1,170.18,182.88,155,23,1,0,0
Serghei Spivac,1,0,0,2.08,0.39,0.6,3.74,0.66,1,2,6,0,0,0,0,0,1,0,1,190.5,198.12,260,25,1,0,0
Dan Ige,0,6,0,4.12,0.48,0.7,2.15,0.34,6,1,17,0,0,2,2,1,1,0,6,170.18,180.34,145,28,1,0,0
Ryan Benoit,1,0,0,2.8,0.4,0.2,0.2,0.16,1,4,17,0,0,1,0,2,0,0,3,165.1,172.72,125,30,1,0,0
Cody Stamann,0,1,1,4.51,0.49,0.0,3.34,0.48,3,1,20,0,0,2,3,0,0,0,5,167.64,162.56,145,30,1,0,0
Taila Santos,1,0,0,4.23,0.49,1.0,1.0,1.0,0,1,3,0,0,0,0,0,0,0,0,165.1,172.72,125,27,1,0,0
Mounir Lazzez,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,185.42,185.42,170,32,1,0,0
Khamzat Chimaev,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,187.96,187.96,185,26,1,0,0
Lerone Murphy,0,0,1,1.87,0.35,2.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,175.26,185.42,145,28,1,0,0
Andreas Michailidis,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,185,31,1,0,0
Chris Fishgold,1,0,0,2.53,0.31,1.5,4.55,0.5,1,2,5,0,0,0,0,0,1,0,1,172.72,172.72,145,28,1,0,0
Liana Jojua,1,0,0,1.53,0.42,0.0,2.41,0.66,0,1,3,0,0,0,0,0,0,0,0,162.56,157.48,125,25,1,0,0
Aaron Phillips,2,0,0,1.87,0.59,0.5,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,175.26,177.8,135,30,0,1,0
Jorge Masvidal,0,3,0,4.33,0.47,0.4,1.7,0.59,4,7,65,1,0,1,8,7,1,0,17,180.34,187.96,170,36,1,0,0
Max Holloway,1,0,0,6.66,0.44,0.4,0.24,0.83,13,5,65,7,0,1,5,9,2,0,17,180.34,175.26,145,28,1,0,0
Jose Aldo,2,0,0,3.47,0.44,0.1,0.64,0.65,15,5,68,14,0,0,7,11,0,0,18,170.18,177.8,135,33,1,0,0
Rose Namajunas,1,0,0,3.95,0.42,0.9,2.17,0.55,3,3,25,4,0,0,2,1,3,0,6,165.1,165.1,115,28,1,0,0
Paige VanZant,0,1,0,3.4,0.52,1.0,1.31,0.33,3,3,22,0,0,0,1,2,2,0,5,162.56,165.1,115,26,1,0,0
Jiri Prochazka,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,193.04,193.04,205,27,1,0,0
Muslim Salikhov,0,3,0,2.92,0.46,0.0,1.22,0.42,3,1,8,0,0,0,1,2,0,0,3,180.34,177.8,170,36,1,0,0
Danny Henry,1,0,0,5.85,0.53,2.7,0.89,0.33,2,1,5,0,0,0,1,0,1,0,2,182.88,185.42,145,31,1,0,0
Roman Bogatov,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,172.72,172.72,155,29,1,0,0
Maxim Grishin,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,190.5,198.12,265,36,1,0,0
Zhalgas Zhamagulov,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,162.56,162.56,125,31,0,0,1
Vanessa Melo,2,0,0,3.6,0.28,0.0,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,165.1,165.1,135,32,1,0,0
Davey Grant,0,1,0,3.13,0.52,0.0,2.64,0.47,1,3,12,1,0,1,1,0,0,0,2,172.72,175.26,135,34,1,0,0
Dan Hooker,0,3,0,4.76,0.45,0.3,0.43,0.28,4,4,32,0,0,1,1,6,2,0,10,182.88,190.5,155,30,0,0,1
Mickey Gall,0,1,0,2.22,0.43,2.7,1.5,0.38,3,2,13,0,0,0,1,0,4,0,5,187.96,187.96,170,28,0,0,1
Kyle Daukaus,0,0,0,4.53,0.67,4.0,2.0,0.4,0,0,0,0,0,0,0,0,0,0,0,190.5,193.04,185,27,0,1,0
Maurice Greene,2,0,0,4.19,0.44,0.5,0.0,0.0,3,2,8,0,0,1,0,1,1,0,3,200.66,203.2,258,33,1,0,0
Khama Worthy,0,1,0,4.94,0.41,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,180.34,187.96,155,33,1,0,0
Miranda Maverick,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,160.02,165.1,125,22,0,1,0
Tanner Boser,1,0,0,4.17,0.49,0.0,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,187.96,190.5,255,28,1,0,0
Julian Erosa,4,0,0,4.18,0.45,0.8,0.83,0.6,1,4,12,0,0,1,0,0,0,0,1,185.42,187.96,145,30,0,1,0
Jason Witt,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,177.8,177.8,170,33,1,0,0
Jinh Yu Frey,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,157.48,157.48,115,35,1,0,0
Youssef Zalal,0,1,0,2.07,0.56,2.0,6.0,0.5,1,0,3,0,0,0,1,0,0,0,1,177.8,182.88,145,23,0,0,1
Alexander Volkov,0,1,0,5.36,0.6,0.2,0.75,0.75,4,1,19,0,0,1,2,2,0,0,5,200.66,203.2,250,31,1,0,0
Shane Burgos,0,3,0,7.09,0.5,0.2,0.36,1.0,3,1,19,0,0,1,2,2,1,0,6,180.34,190.5,145,29,1,0,0
Marion Reneau,2,0,1,3.46,0.41,1.1,0.35,1.0,2,4,27,0,0,0,1,2,2,0,5,167.64,172.72,135,43,1,0,0
Lyman Good,0,1,0,5.32,0.49,0.0,0.38,1.0,1,2,10,0,0,0,0,3,0,0,3,182.88,187.96,170,35,1,0,0
Roosevelt Roberts,0,2,0,3.12,0.49,1.1,1.83,0.57,2,1,12,0,0,0,2,0,2,0,4,187.96,185.42,155,26,1,0,0
Bobby Green,2,0,1,4.95,0.49,0.3,1.12,0.29,8,7,44,0,0,2,3,1,3,0,9,177.8,180.34,155,33,1,0,0
Brianna Van Buren,0,1,0,4.8,0.38,0.0,3.0,0.75,1,0,3,0,0,0,1,0,0,0,1,152.4,157.48,115,26,0,1,0
Oskar Piechota,3,0,0,3.19,0.55,1.9,0.76,0.5,2,3,9,0,0,0,1,1,0,0,2,182.88,193.04,185,30,0,1,0
Gillian Robertson,1,0,0,2.18,0.5,1.3,3.44,0.47,2,2,9,0,0,0,0,1,3,0,4,165.1,160.02,125,25,1,0,0
Justin Jaynes,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,170.18,170.18,155,30,1,0,0
Lauren Murphy,0,2,0,3.76,0.38,0.0,1.03,0.32,2,4,24,0,0,2,0,2,0,0,4,165.1,170.18,125,36,1,0,0
Max Rohskopf,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,185.42,187.96,155,25,1,0,0
Cynthia Calvillo,0,2,1,4.12,0.43,1.6,1.83,0.43,3,1,12,0,0,0,2,0,3,0,5,162.56,162.56,115,32,1,0,0
Marvin Vettori,0,2,1,4.05,0.41,0.6,1.43,0.45,2,2,8,0,0,0,3,0,1,0,4,182.88,187.96,185,26,0,1,0
Kevin Aguilar,2,0,0,3.73,0.36,0.0,0.24,0.5,2,2,2,0,0,0,2,0,0,0,2,170.18,185.42,155,31,1,0,0
Charles Jourdain,0,1,0,4.85,0.43,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,0,1,175.26,175.26,145,24,0,0,1
Mark De La Rosa,3,0,0,3.28,0.36,0.2,0.66,0.15,2,4,1,0,0,1,0,0,1,0,2,167.64,165.1,135,25,1,0,0
Hannah Cifers,2,0,0,4.71,0.44,0.3,0.31,1.0,2,3,0,0,0,1,1,0,0,0,2,154.94,157.48,115,27,1,0,0
Gustavo Lopez,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,165.1,170.18,135,30,1,0,0
Gina Mazany,2,0,0,2.72,0.49,0.0,3.18,0.77,1,3,1,0,0,0,1,0,0,0,1,167.64,172.72,135,31,0,1,0
Zarrukh Adashev,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,165.1,165.1,125,27,0,1,0
Christian Aguilera,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,175.26,182.88,170,28,0,0,1
Felicia Spencer,0,1,0,4.54,0.55,0.7,1.36,0.16,1,1,5,0,0,0,0,1,1,0,2,167.64,172.72,145,29,1,0,0
Cody Garbrandt,3,0,0,3.53,0.37,0.0,0.94,0.33,6,3,18,3,0,0,2,4,0,0,6,172.72,165.1,135,28,1,0,0
Cory Sandhagen,0,5,0,7.14,0.48,0.6,1.24,0.5,5,0,11,0,0,1,1,2,1,0,5,180.34,177.8,135,28,0,0,1
Anthony Rocco Martin,0,1,0,2.7,0.36,1.1,0.68,0.25,4,5,38,0,0,0,5,1,3,0,9,182.88,185.42,170,30,1,0,0
Sean O'Malley,0,3,0,6.87,0.57,1.2,1.24,0.5,3,0,7,0,0,0,2,1,0,0,3,180.34,182.88,135,25,0,0,1
Chase Hooper,0,1,0,5.16,0.63,3.8,0.77,0.16,1,0,1,0,0,0,0,1,0,0,1,185.42,187.96,145,20,0,1,0
Gerald Meerschaert,0,1,0,3.32,0.43,1.7,2.37,0.43,2,4,21,0,0,0,0,1,5,0,6,185.42,195.58,185,32,0,1,0
Brian Kelleher,0,2,0,4.65,0.43,0.8,1.26,0.23,2,3,15,0,0,0,1,2,2,0,5,167.64,167.64,145,33,0,0,1
Maki Pitolo,1,0,0,5.42,0.45,0.9,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,177.8,190.5,170,29,1,0,0
Alex Perez,0,2,0,4.48,0.47,1.5,3.27,0.5,3,1,11,0,0,0,2,1,2,0,5,167.64,165.1,125,28,1,0,0
Devin Clark,0,1,0,3.12,0.55,0.1,3.03,0.42,2,4,21,0,0,0,5,0,0,0,5,182.88,190.5,205,30,1,0,0
Herbert Burns,0,1,0,2.31,0.42,5.8,2.88,1.0,1,0,1,0,0,0,0,1,0,0,1,175.26,185.42,145,32,1,0,0
Gilbert Burns,0,5,0,3.13,0.44,0.7,2.39,0.38,5,3,31,0,0,0,4,3,4,0,11,177.8,180.34,170,33,1,0,0
Augusto Sakai,0,3,0,5.51,0.46,0.0,0.24,0.5,3,0,7,0,0,1,0,2,0,0,3,190.5,195.58,265,29,1,0,0
Spike Carlyle,0,1,0,14.12,0.68,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,172.72,180.34,145,27,0,0,1
Brok Weaver,0,1,0,5.57,0.73,0.8,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,182.88,185.42,155,28,0,1,0
Hannah Cifers,1,0,0,4.82,0.45,0.3,0.32,1.0,2,2,10,0,0,1,1,0,0,0,2,154.94,157.48,115,27,1,0,0
Antonina Shevchenko,0,1,0,4.9,0.57,1.0,0.67,1.0,1,1,8,0,0,0,1,0,1,0,2,172.72,170.18,125,35,0,1,0
Gabe Green,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,170,27,0,0,1
Klidson Abreu,1,0,0,2.02,0.39,0.0,0.67,0.2,1,2,9,0,0,0,1,0,0,0,1,182.88,187.96,205,27,1,0,0
Brandon Royval,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,175.26,172.72,125,27,0,1,0
Casey Kenney,1,0,0,3.39,0.4,0.6,1.4,0.5,2,1,9,0,0,0,2,0,0,0,2,170.18,172.72,135,29,0,1,0
Vince Morales,1,0,0,4.84,0.39,0.0,0.0,0.0,1,2,9,0,0,0,1,0,0,0,1,170.18,177.8,145,29,1,0,0
Walt Harris,1,0,0,2.97,0.39,0.2,0.32,0.33,3,7,22,0,0,0,0,0,0,0,6,195.58,195.58,250,36,0,1,0
Angela Hill,1,0,0,5.76,0.49,0.2,0.47,0.37,3,8,37,0,0,0,0,0,0,0,7,160.02,162.56,115,35,1,0,0
Edson Barboza,3,0,0,4.08,0.43,0.1,0.46,0.44,4,9,55,0,0,0,0,0,0,0,14,180.34,190.5,145,34,1,0,0
Eryk Anders,1,0,0,3.02,0.45,0.1,1.34,0.34,2,5,25,0,0,0,0,0,0,0,5,185.42,190.5,185,33,0,1,0
Marlon Vera,1,0,0,3.7,0.48,1.3,0.88,0.42,5,5,31,0,0,0,0,0,0,0,9,172.72,177.8,145,27,0,0,1
Matt Brown,1,0,0,3.81,0.54,1.5,1.6,0.47,7,11,56,0,0,0,0,0,0,0,15,182.88,190.5,170,39,1,0,0
Anthony Hernandez,1,0,0,5.03,0.53,0.9,5.27,0.66,1,2,4,0,0,0,0,0,0,0,1,182.88,190.5,185,26,1,0,0
Irwin Rivera,1,0,0,2.27,0.36,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,167.64,0.0,145,31,0,1,0
Darren Elkins,4,0,0,3.54,0.37,1.2,2.43,0.33,6,8,54,0,0,0,0,0,0,0,14,177.8,180.34,145,36,1,0,0
Mara Romero Borella,3,0,0,2.54,0.37,0.2,1.66,0.43,1,4,13,0,0,0,0,0,0,0,2,167.64,175.26,125,33,1,0,0
Don'Tale Mayes,2,0,0,4.19,0.45,0.0,0.0,0.0,0,2,3,0,0,0,0,0,0,0,0,198.12,205.74,260,28,1,0,0
Glover Teixeira,0,3,0,3.41,0.44,1.0,2.0,0.38,8,6,46,1,0,1,2,7,6,0,16,187.96,193.04,205,40,1,0,0
Ovince Saint Preux,0,1,0,2.59,0.46,0.6,1.34,0.4,5,9,62,1,1,0,4,8,5,0,18,190.5,203.2,230,37,0,1,0
Drew Dober,0,2,0,4.51,0.4,0.1,0.95,0.17,3,5,28,0,0,0,3,5,1,0,9,172.72,177.8,155,31,0,1,0
Ray Borg,0,2,0,1.36,0.52,1.1,4.26,0.51,3,4,33,1,0,0,5,0,2,0,7,162.56,160.02,135,26,1,0,0
Philipe Lins,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,187.96,198.12,240,34,1,0,0
Thiago Moises,1,0,0,2.96,0.45,1.5,1.22,0.36,1,2,9,0,0,0,1,0,0,0,1,175.26,177.8,155,25,1,0,0
Sarah Moras,0,1,0,2.04,0.41,1.1,0.91,0.23,1,4,18,0,0,0,1,1,1,0,3,170.18,170.18,135,32,1,0,0
Omar Morales,0,1,0,3.6,0.49,0.0,0.71,1.0,1,0,3,0,0,0,1,0,0,0,1,180.34,185.42,155,34,1,0,0
Brian Kelleher,0,1,0,4.87,0.45,0.9,1.47,0.29,2,3,13,0,0,0,1,1,2,0,4,167.64,167.64,145,33,0,0,1
Ike Villanueva,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,185.42,185.42,225,36,1,0,0
Niko Price,0,1,0,3.06,0.34,1.3,1.08,0.23,2,3,15,0,0,0,0,4,2,0,6,182.88,193.04,170,28,1,0,0
Charles Rosa,0,1,0,3.79,0.36,1.2,2.82,0.34,1,3,16,0,0,0,1,0,2,0,3,175.26,175.26,145,33,0,0,1
Sam Alvey,3,0,0,3.05,0.44,0.1,0.09,0.16,4,8,38,0,0,2,2,5,1,0,10,187.96,190.5,205,34,0,1,0
Donald Cerrone,3,0,0,4.33,0.46,1.3,1.21,0.36,8,14,97,0,0,0,9,10,10,0,29,185.42,185.42,155,37,1,0,0
Fabricio Werdum,1,0,0,3.61,0.51,1.1,1.65,0.3,6,8,68,3,0,0,6,6,10,0,22,193.04,195.58,231,41,1,0,0
Michelle Waterson,1,0,0,3.35,0.53,1.2,1.88,0.5,4,3,28,0,0,1,2,0,4,0,7,160.02,157.48,115,34,1,0,0
Jacare Souza,2,0,0,2.54,0.46,1.4,2.46,0.38,8,7,61,0,0,0,4,5,10,0,19,185.42,182.88,185,40,1,0,0
Justin Gaethje,0,3,0,8.57,0.55,0.0,0.0,0.0,3,2,12,0,0,0,0,4,0,0,4,180.34,177.8,155,31,1,0,0
Dominick Cruz,1,0,0,3.53,0.31,0.1,3.17,0.5,12,2,51,5,0,2,8,2,0,0,12,172.72,172.72,135,35,1,0,0
Jairzinho Rozenstruik,0,4,0,3.72,0.46,0.0,0.0,0.0,4,0,9,0,0,0,0,4,0,0,4,193.04,198.12,242,32,1,0,0
Calvin Kattar,1,0,0,5.12,0.41,0.0,0.47,0.33,2,2,14,0,0,0,1,3,0,0,4,180.34,182.88,145,32,1,0,0
Yorgan De Castro,0,1,0,3.58,0.53,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,182.88,187.96,250,33,1,0,0
Charles Oliveira,0,6,0,3.21,0.5,2.8,2.77,0.42,6,8,45,0,0,0,1,2,13,0,16,177.8,187.96,155,30,1,0,0
Gilbert Burns,0,4,0,3.09,0.43,0.7,2.43,0.38,4,3,30,0,0,0,4,2,4,0,10,177.8,180.34,170,33,1,0,0
Damir Hadzovic,1,0,0,3.0,0.46,0.2,0.68,0.6,2,3,15,0,0,1,0,2,0,0,3,175.26,177.8,155,33,1,0,0
Nikita Krylov,1,0,0,4.86,0.57,1.9,1.06,0.38,5,5,20,0,0,0,0,3,4,0,7,190.5,195.58,205,28,1,0,0
John Makdessi,0,3,0,5.43,0.5,0.0,0.0,0.0,3,6,39,0,0,1,5,3,0,0,10,172.72,172.72,155,34,1,0,0
