winner_is_blue,is_title_bout,no_of_rounds,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,total_fight_time_secs,finish_DQ,finish_KO/TKO,finish_M-DEC,finish_Overturned,finish_S-DEC,finish_SUB,finish_U-DEC,year,month,day,Australia,Brazil,Canada,Chile,China,Croatia,Czech Republic,Denmark,Germany,Ireland,Japan,Mexico,Netherlands,New Zealand,Philippines,Poland,Russia,Singapore,South Korea,Sweden,USA,United Arab Emirates,United Kingdom,Uruguay,Catch Weight,Featherweight,Flyweight,Heavyweight,Light Heavyweight,Lightweight,Middleweight,Welterweight,Women's Bantamweight,Women's Featherweight,Women's Flyweight,Women's Strawweight,B_Orthodox,B_Southpaw,B_Switch,R_Orthodox,R_Southpaw,R_Switch,better_rank_Red,better_rank_neither,weight_dif,odds_dif,ev_dif,draw_dif,avg_SIG_STR_pct_dif,avg_TD_pct_dif,win_by_Decision_Majority_dif,win_by_Decision_Split_dif,win_by_Decision_Unanimous_dif,win_by_TKO_Doctor_Stoppage_dif
1,0,3,0,3,1,-6,-4,-28,-3,-6,0,7.62,5.08,-6,0.71,0.3,7.91,1,900.0,0,0,0,0,0,0,1,2020,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-428,-146.33333333000002,0,-0.019999999999999962,0.21999999999999997,0,-1,1,0
1,0,3,0,0,-3,-16,-11,-61,0,-2,-10,5.08,2.54,1,0.48,-1.5,2.32,1,900.0,0,0,0,0,0,0,1,2020,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,-224,-19.354838709999996,0,0.04999999999999999,0.19,0,-2,-2,0
1,0,3,0,0,0,0,-3,-11,0,0,1,-10.16,-15.24,-3,-1.31,1.4,2.02,1,900.0,0,0,0,0,0,0,1,2020,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,-292,-68.27160494,0,-0.04999999999999999,0.12,0,0,-1,0
1,0,3,-2,1,-3,-4,-2,-16,0,0,-1,-2.54,-2.54,-3,-2.56,1.2,3.03,1,665.1285186894324,0,0,0,0,0,1,0,2020,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,-555,-208.25396825,0,0.06,0.16000000000000003,0,-1,-2,0
1,0,3,2,-2,0,1,4,11,0,-1,2,-5.08,-7.62,3,0.39,-4.9,-3.13,1,665.1285186894324,0,1,0,0,0,0,0,2020,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,511,190.03496503,0,-0.010000000000000009,-0.75,0,0,0,0
1,0,3,-1,0,0,0,-1,-2,0,0,0,-2.54,-10.16,3,-3.47,-0.7,-8.33,1,900.0,0,0,0,0,0,0,1,2020,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,297,70.11976048,0,-0.54,-0.85,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,-187.96,-187.96,0,8.54,1.9,1.91,1,665.1285186894324,0,1,0,0,0,0,0,2020,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,-12,-9.593859930000008,0,0.47,1.0,0,0,0,0
0,0,5,0,0,-4,-6,-1,-25,-1,-9,6,-2.54,2.54,8,1.19,2.2,1.93,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-20,360,110.0,0,0.010000000000000009,0.22000000000000003,0,-1,-2,0
1,0,3,2,-5,6,2,2,6,5,2,3,5.08,12.7,4,0.15,0.8,1.42,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,20,-256,-44.07801418,-1,0.07999999999999996,0.0,0,-1,-2,0
1,0,3,0,1,1,3,3,15,0,1,0,5.08,-2.54,0,-2.28,-0.7,-0.6,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,15,-280,-60.48387097,0,-0.010000000000000009,-0.15999999999999998,0,1,1,0
